EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC Fight Night: Tsarukyan vs. Hooker ,Arman Tsarukyan vs. Dan Hooker,W/L,Lightweight Bout,Submission ,2,3:34,5 Rnd (5-5-5-5-5),Marc Goddard,Arm Triangle From Mount ,http://ufcstats.com/fight-details/5f5b626e67529056
UFC Fight Night: Tsarukyan vs. Hooker ,Belal Muhammad vs. Ian Machado Garry,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Anders Ohlsson 27 - 30.Vito Paolillo 27 - 30.Mark Collett 28 - 29.,http://ufcstats.com/fight-details/b2218930b982d9b6
UFC Fight Night: Tsarukyan vs. Hooker ,Volkan Oezdemir vs. Alonzo Menifield,W/L,Light Heavyweight Bout,KO/TKO ,1,1:27,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/870d374f8d9af65a
UFC Fight Night: Tsarukyan vs. Hooker ,Jack Hermansson vs. Myktybek Orolbai,L/W,Welterweight Bout,KO/TKO ,1,2:46,3 Rnd (5-5-5),Daniel Movahedi,Punch to Head At Distance ,http://ufcstats.com/fight-details/8ed609d80e135d94
UFC Fight Night: Tsarukyan vs. Hooker ,Waldo Cortes Acosta vs. Shamil Gaziev,W/L,Heavyweight Bout,KO/TKO ,1,1:22,3 Rnd (5-5-5),Lukasz Bosacki,Punch to Head At Distance ,http://ufcstats.com/fight-details/e8307c7686c42d8c
UFC Fight Night: Tsarukyan vs. Hooker ,Tagir Ulanbekov vs. Kyoji Horiguchi,L/W,Flyweight Bout,Submission ,3,2:18,3 Rnd (5-5-5),Rich Mitchell,Rear Naked Choke ,http://ufcstats.com/fight-details/00ee51bba08b7a08
UFC Fight Night: Tsarukyan vs. Hooker ,Bogdan Grad vs. Luke Riley,L/W,Featherweight Bout,KO/TKO ,2,0:30,3 Rnd (5-5-5),Marc Goddard,Punches to Head From Guard ,http://ufcstats.com/fight-details/5e6a74db89f5410c
UFC Fight Night: Tsarukyan vs. Hooker ,Nicolas Dalby vs. Saygid Izagakhmaev,W/L,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 28 - 29.Vito Paolillo 29 - 28.Cezary Wojciechowski 28 - 29.,http://ufcstats.com/fight-details/c49485cedb878cf0
UFC Fight Night: Tsarukyan vs. Hooker ,Alex Perez vs. Asu Almabayev,L/W,Flyweight Bout,Submission ,3,0:22,3 Rnd (5-5-5),Daniel Movahedi,Guillotine Choke In Clinch ,http://ufcstats.com/fight-details/443f30a4a856584a
UFC Fight Night: Tsarukyan vs. Hooker ,Abdul Rakhman Yakhyaev vs. Rafael Cerqueira,W/L,Light Heavyweight Bout,Submission ,1,0:33,3 Rnd (5-5-5),Rich Mitchell,Rear Naked Choke ,http://ufcstats.com/fight-details/f5564a9eeebd4ea0
UFC Fight Night: Tsarukyan vs. Hooker ,Bekzat Almakhan vs. Aleksandre Topuria,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 27 - 30.Cezary Wojciechowski 27 - 30.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/6f0231915cc28507
UFC Fight Night: Tsarukyan vs. Hooker ,Ismail Naurdiev vs. Ryan Loder,W/L,Middleweight Bout,KO/TKO ,1,1:26,3 Rnd (5-5-5),Daniel Movahedi,Punch to Head At Distance ,http://ufcstats.com/fight-details/335064c3380e2f10
UFC Fight Night: Tsarukyan vs. Hooker ,Nurullo Aliev vs. Shem Rock,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 27 - 30.Anders Ohlsson 27 - 30.Cezary Wojciechowski 27 - 30.,http://ufcstats.com/fight-details/46f81d5ecd974c1c
UFC Fight Night: Tsarukyan vs. Hooker ,Marek Bujlo vs. Denzel Freeman,L/W,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Vito Paolillo 27 - 30.Mark Collett 28 - 29.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/9027e156c6f1988a
UFC 322: Della Maddalena vs. Makhachev ,Jack Della Maddalena vs. Islam Makhachev,L/W,UFC Welterweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 45 - 50.Sal D'amato 45 - 50.Ron McCarthy 45 - 50.,http://ufcstats.com/fight-details/856f6ee049373843
UFC 322: Della Maddalena vs. Makhachev ,Valentina Shevchenko vs. Zhang Weili,W/L,UFC Women's Flyweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Chris Bolinski 45 - 50.Eric Colon 45 - 50.Chris Lee 45 - 50.,http://ufcstats.com/fight-details/7606f6b6c19f2d73
UFC 322: Della Maddalena vs. Makhachev ,Sean Brady vs. Michael Morales,L/W,Welterweight Bout,KO/TKO ,1,3:27,3 Rnd (5-5-5),Blake Grice,Punches to Head At Distance ,http://ufcstats.com/fight-details/477af74ea3cbba8b
UFC 322: Della Maddalena vs. Makhachev ,Leon Edwards vs. Carlos Prates,L/W,Welterweight Bout,KO/TKO ,2,1:28,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/3c60884853766487
UFC 322: Della Maddalena vs. Makhachev ,Beneil Dariush vs. Benoit Saint Denis,L/W,Lightweight Bout,KO/TKO ,1,0:16,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/9b5f190cd3f5ce16
UFC 322: Della Maddalena vs. Makhachev ,Bo Nickal vs. Rodolfo Vieira,W/L,Middleweight Bout,KO/TKO ,3,2:24,3 Rnd (5-5-5),Dan Miragliotta,Kick to Head At Distance ,http://ufcstats.com/fight-details/292b83afa418635f
UFC 322: Della Maddalena vs. Makhachev ,Roman Kopylov vs. Gregory Rodrigues,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Eric Colon 27 - 30.Marcel Varela 27 - 30.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/ebb012c5f3fd0cbb
UFC 322: Della Maddalena vs. Makhachev ,Erin Blanchfield vs. Tracy Cortez,W/L,Women's Flyweight Bout,Submission ,2,4:44,3 Rnd (5-5-5),Blake Grice,Rear Naked Choke ,http://ufcstats.com/fight-details/909cd8633507a0c8
UFC 322: Della Maddalena vs. Makhachev ,Malcolm Wellmaker vs. Ethyn Ewing,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Bolinski 27 - 30.Ron McCarthy 28 - 29.Marcel Varela 28 - 29.,http://ufcstats.com/fight-details/e313286b307334a7
UFC 322: Della Maddalena vs. Makhachev ,Kyle Daukaus vs. Gerald Meerschaert,W/L,Middleweight Bout,Submission ,1,0:50,3 Rnd (5-5-5),Herb Dean,D'Arce Choke On Ground ,http://ufcstats.com/fight-details/9bbdc2a2ab334541
UFC 322: Della Maddalena vs. Makhachev ,Pat Sabatini vs. Chepe Mariscal,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Adrian Castro 27 - 30.Sal D'amato 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/e3cbd663732f4a98
UFC 322: Della Maddalena vs. Makhachev ,Angela Hill vs. Fatima Kline,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Chris Bolinski 27 - 30.Marcel Varela 26 - 30.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/6c2c6a6e3f4d04db
UFC 322: Della Maddalena vs. Makhachev ,Baisangur Susurkaev vs. Eric McConico,W/L,Middleweight Bout,KO/TKO ,3,1:38,3 Rnd (5-5-5),Blake Grice,Punch to Head At Distance ,http://ufcstats.com/fight-details/c037cf1f7b429d5e
UFC 322: Della Maddalena vs. Makhachev ,Viacheslav Borshchev vs. Matheus Camilo,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Adrian Castro 27 - 30.Marcel Varela 27 - 30.Chris Bolinski 28 - 29.,http://ufcstats.com/fight-details/1a5378e32e8519ef
UFC Fight Night: Bonfim vs. Brown ,Gabriel Bonfim vs. Randy Brown,W/L,Welterweight Bout,KO/TKO ,2,1:40,5 Rnd (5-5-5-5-5),Mark Smith,Knee to Head In Clinch ,http://ufcstats.com/fight-details/4e224ebb6394611d
UFC Fight Night: Bonfim vs. Brown ,Matt Schnell vs. Joseph Morales,L/W,Flyweight Bout,Submission ,1,2:54,3 Rnd (5-5-5),Keith Peterson,Guillotine Choke From Guard ,http://ufcstats.com/fight-details/f7e9bd2d6f81aeae
UFC Fight Night: Bonfim vs. Brown ,Muslim Salikhov vs. Uros Medic,L/W,Welterweight Bout,KO/TKO ,1,1:03,3 Rnd (5-5-5),Kerry Hatley,Punch to Head At Distance ,http://ufcstats.com/fight-details/b23fa678cc65cf5b
UFC Fight Night: Bonfim vs. Brown ,Chris Padilla vs. Ismael Bonfim,W/L,Lightweight Bout,KO/TKO ,2,4:30,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground ,http://ufcstats.com/fight-details/20971ed9a842b0cb
UFC Fight Night: Bonfim vs. Brown ,Christian Leroy Duncan vs. Marco Tulio,W/L,Middleweight Bout,KO/TKO ,2,3:20,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/ac4343150638b635
UFC Fight Night: Bonfim vs. Brown ,Hyder Amil vs. Jamall Emmers,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Saleem Haniff 27 - 29.Ben Cartlidge 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/e3d657dd88864ba7
UFC Fight Night: Bonfim vs. Brown ,Ricky Simon vs. Raoni Barcelos,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Eric Colon 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/c6d56aad93f98249
UFC Fight Night: Bonfim vs. Brown ,Mayra Bueno Silva vs. Jacqueline Cavalcanti,L/W,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 27 - 30.Sal D'amato 27 - 30.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/80eae31bc0a94a65
UFC Fight Night: Bonfim vs. Brown ,Josh Hokit vs. Max Gimenis,W/L,Heavyweight Bout,KO/TKO ,1,0:56,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance ,http://ufcstats.com/fight-details/87dcb3eab20f6ac1
UFC Fight Night: Bonfim vs. Brown ,Tecia Pennington vs. Denise Gomes,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Eric Colon 27 - 30.Sal D'amato 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/9126633d921afb57
UFC Fight Night: Bonfim vs. Brown ,Miles Johns vs. Daniel Marcos,L/W,Bantamweight Bout,Submission ,2,4:23,3 Rnd (5-5-5),Kerry Hatley,Rear Naked Choke ,http://ufcstats.com/fight-details/238c274c90587e21
UFC Fight Night: Bonfim vs. Brown ,Zach Reese vs. Jackson McVey,W/L,Catch Weight Bout,Submission ,2,1:38,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke ,http://ufcstats.com/fight-details/84b66bf7fba2d59d
UFC Fight Night: Garcia vs. Onama ,Steve Garcia vs. David Onama,W/L,Featherweight Bout,KO/TKO ,1,3:34,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground ,http://ufcstats.com/fight-details/747d922b329b7f30
UFC Fight Night: Garcia vs. Onama ,Waldo Cortes Acosta vs. Ante Delija,W/L,Heavyweight Bout,KO/TKO ,1,3:59,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/9d9390b550d77e06
UFC Fight Night: Garcia vs. Onama ,Jeremiah Wells vs. Themba Gorimbo,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 28 - 29.Junichiro Kamijo 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/b0f68344e01884ff
UFC Fight Night: Garcia vs. Onama ,Isaac Dulgarian vs. Yadier del Valle,L/W,Featherweight Bout,Submission ,1,3:41,3 Rnd (5-5-5),Eric McMahon,Rear Naked Choke ,http://ufcstats.com/fight-details/767b78b67c7da17c
UFC Fight Night: Garcia vs. Onama ,Charles Radtke vs. Daniel Frunza,W/L,Welterweight Bout,Submission ,3,4:29,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/71c8ca7442bcb757
UFC Fight Night: Garcia vs. Onama ,Allan Nascimento vs. Cody Durden,W/L,Catch Weight Bout,Submission ,2,3:13,3 Rnd (5-5-5),Mark Smith,Anaconda Choke On Ground ,http://ufcstats.com/fight-details/f41c2c82d5117230
UFC Fight Night: Garcia vs. Onama ,Billy Elekana vs. Kevin Christian,W/L,Light Heavyweight Bout,Submission ,1,3:33,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke ,http://ufcstats.com/fight-details/f063bcccbbb9edc5
UFC Fight Night: Garcia vs. Onama ,Timmy Cuamba vs. ChangHo Lee,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Eric McMahon,Derek Cleary 28 - 29.Junichiro Kamijo 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/58f6248da3cdf3ce
UFC Fight Night: Garcia vs. Onama ,Donte Johnson vs. Sedriques Dumas,W/L,Middleweight Bout,Submission ,2,1:25,3 Rnd (5-5-5),Herb Dean,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/c245be6698c1e378
UFC Fight Night: Garcia vs. Onama ,Ketlen Vieira vs. Norma Dumont,L/W,Women's Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 28 - 29.Ron McCarthy 29 - 28.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/760150e9951e65fa
UFC Fight Night: Garcia vs. Onama ,Alice Ardelean vs. Montserrat Conejo Ruiz,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 27 - 30.Derek Cleary 27 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/32927d50acedb507
UFC Fight Night: Garcia vs. Onama ,Phil Rowe vs. Seokhyeon Ko,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Eric McMahon,David Lethaby 26 - 30.Eric Colon 27 - 30.David Sutherland 27 - 30.,http://ufcstats.com/fight-details/e6031b5937294176
UFC Fight Night: Garcia vs. Onama ,Talita Alencar vs. Ariane Carnelossi,W/L,Women's Strawweight Bout,Submission ,3,4:36,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke ,http://ufcstats.com/fight-details/7add5901fac6ab82
UFC 321: Aspinall vs. Gane ,Tom Aspinall vs. Ciryl Gane,NC/NC,UFC Heavyweight Title Bout,Could Not Continue ,1,4:35,5 Rnd (5-5-5-5-5),Jason Herzog,Eye poke by Gane,http://ufcstats.com/fight-details/6390c8e74630473e
UFC 321: Aspinall vs. Gane ,Virna Jandiroba vs. Mackenzie Dern,L/W,UFC Women's Strawweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 47 - 48.Chris Lee 47 - 48.Sal D'amato 46 - 49.,http://ufcstats.com/fight-details/7d3da3c4153717de
UFC 321: Aspinall vs. Gane ,Umar Nurmagomedov vs. Mario Bautista,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 27 - 30.Chris Lee 27 - 30.Jacob Montalvo 27 - 30.,http://ufcstats.com/fight-details/e69f9b4b9cae12a4
UFC 321: Aspinall vs. Gane ,Alexander Volkov vs. Jailton Almeida,W/L,Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Tony Weeks 28 - 29.Mike Bell 29 - 28.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/b42a3386a7dccb3d
UFC 321: Aspinall vs. Gane ,Aleksandar Rakic vs. Azamat Murzakanov,L/W,Light Heavyweight Bout,KO/TKO ,1,3:11,3 Rnd (5-5-5),Rich Mitchell,Punch to Head At Distance ,http://ufcstats.com/fight-details/ef12d2aaaadaf6d0
UFC 321: Aspinall vs. Gane ,Nasrat Haqparast vs. Quillan Salkilld,L/W,Lightweight Bout,KO/TKO ,1,2:30,3 Rnd (5-5-5),Kerry Hatley,Kick to Head At Distance ,http://ufcstats.com/fight-details/cb902d73389ed34b
UFC 321: Aspinall vs. Gane ,Ikram Aliskerov vs. JunYong Park,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 27 - 30.Sal D'amato 27 - 30.Clemens Werner 27 - 30.,http://ufcstats.com/fight-details/0230a9dd2739add4
UFC 321: Aspinall vs. Gane ,Ludovit Klein vs. Mateusz Rebecki,W/L,Lightweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Chris Lee 28 - 29.Ben Cartlidge 27 - 28.Tony Weeks 28 - 28.,http://ufcstats.com/fight-details/e9c034cec33b3479
UFC 321: Aspinall vs. Gane ,Valter Walker vs. Louie Sutherland,W/L,Heavyweight Bout,Submission ,1,1:24,3 Rnd (5-5-5),Kerry Hatley,Heel Hook After Drop to Ground ,http://ufcstats.com/fight-details/f2c2a49fed32bd75
UFC 321: Aspinall vs. Gane ,Nathaniel Wood vs. Jose Delgado,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 28 - 29.Sal D'amato 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/bd7394f07247d9ca
UFC 321: Aspinall vs. Gane ,Hamdy Abdelwahab vs. Chris Barnett,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell 26 - 29.Chris Lee 27 - 29.Jacob Montalvo 27 - 29.,http://ufcstats.com/fight-details/3fdb4c4b39218cf4
UFC 321: Aspinall vs. Gane ,Azat Maksum vs. Mitch Raposo,L/W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 26 - 30.Tony Weeks 27 - 29.Clemens Werner 27 - 29.,http://ufcstats.com/fight-details/22dd728012944f0a
UFC 321: Aspinall vs. Gane ,Jaqueline Amorim vs. Mizuki,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Mike Bell 27 - 30.Jacob Montalvo 27 - 30.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/ef1519c8c1d20977
UFC Fight Night: De Ridder vs. Allen ,Reinier de Ridder vs. Brendan Allen,L/W,Middleweight Bout,KO/TKO ,4,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,toCorner stoppage between rounds,http://ufcstats.com/fight-details/d61373d9fdf01a12
UFC Fight Night: De Ridder vs. Allen ,Kevin Holland vs. Mike Malott,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Jake Maxim 28 - 29.Mike Bell 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/cdd565a16975c711
UFC Fight Night: De Ridder vs. Allen ,Marlon Vera vs. Aiemann Zahabi,L/W,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Jake Maxim 28 - 29.Sal D'amato 29 - 28.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/857d274e47aa8c4e
UFC Fight Night: De Ridder vs. Allen ,Manon Fiorot vs. Jasmine Jasudavicius,W/L,Women's Flyweight Bout,KO/TKO ,1,1:14,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground ,http://ufcstats.com/fight-details/c82acd7b17915591
UFC Fight Night: De Ridder vs. Allen ,Charles Jourdain vs. Davey Grant,W/L,Bantamweight Bout,Submission ,1,3:05,3 Rnd (5-5-5),Jason Herzog,Guillotine Choke From Guard ,http://ufcstats.com/fight-details/a18edcb638ba7e39
UFC Fight Night: De Ridder vs. Allen ,Kyle Nelson vs. Matt Frevola,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Sal D'amato 27 - 30.Jake Maxim 28 - 29.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/3af1bdc5a510bba9
UFC Fight Night: De Ridder vs. Allen ,Kyle Prepolec vs. Drew Dober,L/W,Lightweight Bout,KO/TKO ,3,1:16,3 Rnd (5-5-5),John Cooper,Punches to Head At Distance ,http://ufcstats.com/fight-details/ecdbb3a5216b815e
UFC Fight Night: De Ridder vs. Allen ,Cody Gibson vs. Aoriqileng,L/W,Bantamweight Bout,KO/TKO ,1,0:21,3 Rnd (5-5-5),Mitch Cadlick,Punch to Head At Distance ,http://ufcstats.com/fight-details/970f083af8368f57
UFC Fight Night: De Ridder vs. Allen ,Bruno Silva vs. HyunSung Park,W/L,Flyweight Bout,Submission ,3,2:15,3 Rnd (5-5-5),Sal Ram,Rear Naked Choke ,http://ufcstats.com/fight-details/668a44403a130043
UFC Fight Night: De Ridder vs. Allen ,Danny Barlow vs. Djorden Santos,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John Cooper,Jake Maxim 28 - 29.Mike Bell 28 - 29.Saleem Haniff 28 - 29.,http://ufcstats.com/fight-details/096e00355c8c84ac
UFC Fight Night: De Ridder vs. Allen ,Stephanie Luciano vs. Ravena Oliveira,W/L,Women's Strawweight Bout,Submission ,3,2:50,3 Rnd (5-5-5),Mitch Cadlick,Rear Naked Choke ,http://ufcstats.com/fight-details/8d9458121f0c4b95
UFC Fight Night: De Ridder vs. Allen ,Azamat Bekoev vs. Yousri Belgaroui,L/W,Middleweight Bout,KO/TKO ,3,0:55,3 Rnd (5-5-5),Sal Ram,Punches to Head At Distance ,http://ufcstats.com/fight-details/87ac0e5face106b4
UFC Fight Night: De Ridder vs. Allen ,Melissa Croden vs. Tainara Lisboa,W/L,Women's Bantamweight Bout,KO/TKO ,3,4:32,3 Rnd (5-5-5),John Cooper,Punches to Head From Half Guard ,http://ufcstats.com/fight-details/dec301fd5e99ca46
UFC Fight Night: Oliveira vs. Gamrot ,Charles Oliveira vs. Mateusz Gamrot,W/L,Lightweight Bout,Submission ,2,2:48,5 Rnd (5-5-5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/79865287be90e4be
UFC Fight Night: Oliveira vs. Gamrot ,Deiveson Figueiredo vs. Montel Jackson,W/L,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Clemens Werner 28 - 29.Fabio Alves 29 - 28.Jerin Valel 28 - 29.,http://ufcstats.com/fight-details/f295eb2a7b0ba4b7
UFC Fight Night: Oliveira vs. Gamrot ,Vicente Luque vs. Joel Alvarez,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Osiris Maia,Mateus Fonseca 26 - 30.Sal D'amato 26 - 30.David Lethaby 26 - 30.,http://ufcstats.com/fight-details/6188b7fb3f8daacc
UFC Fight Night: Oliveira vs. Gamrot ,Jhonata Diniz vs. Mario Pinto,L/W,Heavyweight Bout,KO/TKO ,2,4:10,3 Rnd (5-5-5),Joao Claudio Soares,Punches to Head From Mount ,http://ufcstats.com/fight-details/03377f7bf8a2d5ff
UFC Fight Night: Oliveira vs. Gamrot ,Ricardo Ramos vs. Kaan Ofli,L/W,Featherweight Bout,Submission ,1,3:02,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/2aef1a91d26dde42
UFC Fight Night: Oliveira vs. Gamrot ,Lucas Almeida vs. Michael Aswell Jr.,L/W,Featherweight Bout,KO/TKO ,1,1:42,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Mount ,http://ufcstats.com/fight-details/cff0abc02974fb4a
UFC Fight Night: Oliveira vs. Gamrot ,Jafel Filho vs. Clayton Carpenter,W/L,Flyweight Bout,Submission ,1,4:42,3 Rnd (5-5-5),Osiris Maia,Kimura From Bottom Half Guard ,http://ufcstats.com/fight-details/766b0b26c40525de
UFC Fight Night: Oliveira vs. Gamrot ,Vitor Petrino vs. Thomas Petersen,W/L,Heavyweight Bout,KO/TKO ,3,0:26,3 Rnd (5-5-5),Joao Claudio Soares,Punch to Head At Distance ,http://ufcstats.com/fight-details/a815dafc89adf33b
UFC Fight Night: Oliveira vs. Gamrot ,Bia Mesquita vs. Irina Alekseeva,W/L,Women's Bantamweight Bout,Submission ,2,2:14,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/546f971f9d8e0a33
UFC Fight Night: Oliveira vs. Gamrot ,Lucas Rocha vs. Stewart Nicoll,W/L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mateus Fonseca 27 - 30.Sal D'amato 27 - 30.Jerin Valel 27 - 30.,http://ufcstats.com/fight-details/434abaea90ccd299
UFC Fight Night: Oliveira vs. Gamrot ,Julia Polastri vs. Karolina Kowalkiewicz,W/L,Women's Strawweight Bout,KO/TKO ,3,2:56,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/c547b3e95bcc5f24
UFC Fight Night: Oliveira vs. Gamrot ,Luan Lacerda vs. Saimon Oliveira,W/L,Bantamweight Bout,Submission ,2,3:55,3 Rnd (5-5-5),Jason Herzog,Armbar From Bottom Guard ,http://ufcstats.com/fight-details/0f9e7d0d04e24b74
UFC 320: Ankalaev vs. Pereira 2 ,Magomed Ankalaev vs. Alex Pereira,L/W,UFC Light Heavyweight Title Bout,KO/TKO ,1,1:20,5 Rnd (5-5-5-5-5),Herb Dean,Elbows to Head From Half Guard ,http://ufcstats.com/fight-details/0de1ef0b9f3a79c0
UFC 320: Ankalaev vs. Pereira 2 ,Merab Dvalishvili vs. Cory Sandhagen,W/L,UFC Bantamweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 45 - 49.Ben Cartlidge 45 - 49.Eric Colon 46 - 49.,http://ufcstats.com/fight-details/a8511df8285f5c91
UFC 320: Ankalaev vs. Pereira 2 ,Jiri Prochazka vs. Khalil Rountree Jr.,W/L,Light Heavyweight Bout,KO/TKO ,3,3:04,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance ,http://ufcstats.com/fight-details/2560ea97b2cce4ef
UFC 320: Ankalaev vs. Pereira 2 ,Josh Emmett vs. Youssef Zalal,L/W,Featherweight Bout,Submission ,1,1:38,3 Rnd (5-5-5),Jason Herzog,Armbar From Back Control ,http://ufcstats.com/fight-details/84ebd144d5e79c88
UFC 320: Ankalaev vs. Pereira 2 ,Abus Magomedov vs. Joe Pyfer,L/W,Middleweight Bout,Submission ,2,1:46,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke ,http://ufcstats.com/fight-details/d006dd2513bd376d
